path,output,target,predictors,rows_used,baseline_r2,baseline_mae,baseline_rmse,linear_train_r2,linear_test_r2,linear_mae,linear_rmse,rf_train_r2,rf_test_r2,rf_mae,rf_rmse,best_model,rmse_improvement_pct,decision,raw_formula,standardized_formula
Sleep efficiency → panas_pos_10,mood/emotion,panas_pos_10,Efficiency,21,-0.0358,1.5816,2.6888,0.0045,0.0311,1.5885,2.6004,0.1601,0.1346,1.5875,2.4576,random forest,8.6,weak / exploratory only,panas_pos_10 = 31.7288 -0.0493 * Efficiency,panas_pos_10 = 27.6429 -0.3573 * z(Efficiency)
Sleep efficiency → panas_pos_14,mood/emotion,panas_pos_14,Efficiency,20,-1.5762,5.2143,6.6662,0.123,-3.836,7.8611,9.1335,0.1547,-2.585,6.5613,7.8639,baseline mean,-17.97,do not use,panas_pos_14 = 57.8669 -0.3734 * Efficiency,panas_pos_14 = 25.7143 -2.0249 * z(Efficiency)
Sleep efficiency → panas_pos_18,mood/emotion,panas_pos_18,Efficiency,21,-0.0673,6.7245,7.6801,0.1211,-0.0915,6.3373,7.7666,0.2912,-0.1495,6.2672,7.9705,baseline mean,-1.13,do not use,panas_pos_18 = 3.6316 +0.2708 * Efficiency,panas_pos_18 = 26.0714 +1.9621 * z(Efficiency)
Sleep efficiency → panas_pos_22,mood/emotion,panas_pos_22,Efficiency,21,-0.1419,3.3571,3.8499,0.0015,-0.1377,3.3452,3.8427,0.2487,-0.3275,2.9934,4.151,linear regression,0.19,weak / exploratory only,panas_pos_22 = 22.7608 -0.0273 * Efficiency,panas_pos_22 = 20.5000 -0.1977 * z(Efficiency)
Sleep efficiency → panas_pos_9+1,mood/emotion,panas_pos_9+1,Efficiency,21,-0.1931,4.2347,5.5037,0.0001,-0.1902,4.237,5.497,0.105,-0.1546,3.8551,5.414,random forest,1.63,weak / exploratory only,panas_pos_9+1 = 25.1926 -0.0066 * Efficiency,panas_pos_9+1 = 24.6429 -0.0481 * z(Efficiency)
Sleep efficiency → panas_neg_10,mood/emotion,panas_neg_10,Efficiency,21,-0.0022,3.1735,4.5631,0.0504,-0.0217,3.6224,4.6072,0.4545,-0.2275,4.7767,5.05,baseline mean,-0.97,do not use,panas_neg_10 = 1.9660 +0.1461 * Efficiency,panas_neg_10 = 14.0714 +1.0585 * z(Efficiency)
Sleep efficiency → panas_neg_14,mood/emotion,panas_neg_14,Efficiency,20,-0.0386,3.0714,4.0764,0.0905,-0.6188,3.3749,5.0893,0.2697,-0.555,3.5145,4.9879,baseline mean,-22.36,do not use,panas_neg_14 = -8.3453 +0.2620 * Efficiency,panas_neg_14 = 14.2143 +1.4207 * z(Efficiency)
Sleep efficiency → panas_neg_18,mood/emotion,panas_neg_18,Efficiency,21,-1.0622,5.1429,6.3696,0.0893,-1.122,5.1414,6.4613,0.3568,-1.1515,5.151,6.5059,baseline mean,-1.44,do not use,panas_neg_18 = 23.9194 -0.1197 * Efficiency,panas_neg_18 = 14.0000 -0.8673 * z(Efficiency)
Sleep efficiency → panas_neg_22,mood/emotion,panas_neg_22,Efficiency,21,-0.2353,3.7347,5.5641,0.0279,-0.3122,3.7597,5.7346,0.2315,-0.3408,4.1812,5.7968,baseline mean,-3.06,do not use,panas_neg_22 = 8.5329 +0.0694 * Efficiency,panas_neg_22 = 14.2857 +0.5030 * z(Efficiency)
Sleep efficiency → panas_neg_9+1,mood/emotion,panas_neg_9+1,Efficiency,21,-0.0198,1.8776,2.0504,0.0792,0.0005,1.9087,2.0299,0.3332,-0.1858,2.0026,2.211,linear regression,1.0,weak / exploratory only,panas_neg_9+1 = 21.1077 -0.0961 * Efficiency,panas_neg_9+1 = 13.1429 -0.6964 * z(Efficiency)
